video_name,sample_number,source_frame_number,timestamp_seconds,roll_number,confidence,status
test_video_02.mp4,21,1800,60.000,22102040,0.750858,recognized
test_video_02.mp4,22,1890,63.000,22102039,0.956993,recognized
test_video_02.mp4,22,1890,63.000,22102004,0.794993,recognized
test_video_02.mp4,22,1890,63.000,22102038,0.939817,recognized
test_video_02.mp4,22,1890,63.000,22102040,0.628474,recognized
test_video_02.mp4,22,1890,63.000,22102037,0.854817,recognized
test_video_02.mp4,22,1890,63.000,Unknown,0.379137,unknown
test_video_02.mp4,23,1980,66.000,22102039,0.769223,recognized
test_video_02.mp4,23,1980,66.000,22102004,0.710352,recognized
test_video_02.mp4,23,1980,66.000,Unknown,0.424461,unknown
test_video_02.mp4,23,1980,66.000,22102040,0.883035,recognized
test_video_02.mp4,23,1980,66.000,22102037,0.616986,recognized
test_video_02.mp4,24,2070,69.000,22102039,0.900863,recognized
test_video_02.mp4,24,2070,69.000,22102038,0.882213,recognized
test_video_02.mp4,24,2070,69.000,22102037,0.698496,recognized
test_video_02.mp4,24,2070,69.000,22102004,0.896004,recognized
test_video_02.mp4,24,2070,69.000,22102040,0.673637,recognized
test_video_02.mp4,24,2070,69.000,22102025,0.554830,recognized
test_video_02.mp4,25,2160,72.000,22102037,0.740297,recognized
test_video_02.mp4,25,2160,72.000,22102004,0.916726,recognized
test_video_02.mp4,25,2160,72.000,22102039,0.969637,recognized
test_video_02.mp4,25,2160,72.000,22102038,0.808861,recognized
test_video_02.mp4,25,2160,72.000,22102040,0.663449,recognized
test_video_02.mp4,25,2160,72.000,Unknown,0.159410,unknown
